UID,Cost3_symb,Cost_per_c,Cost_Estim
H-18,$$$$$$$$,7777,777
H-19,$$$$$,0,77
H-20,$$$$$,0,77
H-21,$$$$$,0,0
H-1,$$$,140000,8600000
H-2,$$$$,250000,11000000
H-22,$$$$$,0,0
H-23,$$$$$,0,0
H-24,$$$$$,0,0
H-25,$$$$$,0,0
H-16,$$$$$,390000,58200000
H-17,$$,80000,123400000
H-3,$$$$$,350000,30600000
H-4,$$,80000,57400000
H-5,$$,80000,40500000
H-26,$$$$$,0,0
H-27,$$$$$,0,0
H-28,$$$$$,0,0
H-39,$$$,180000,0
H-40,$$$,150000,0
H-41,$$$$,280000,0
H-29,$$$$$,0,0
H-30,$$$$$,0,0
H-31,$$$$$,0,0
H-6,$$$,110000,67200000
H-7,$$$$,210000,24200000
H-32,$$$$$,0,0
H-33,$$$$$,0,0
H-8,$$$,180000,35700000
H-9,$$$$$,310000,52100000
H-10,$$$$,270000,44300000
H-34,$$$$$,0,0
H-35,$$$$$,0,0
H-11,$$$$$,310000,93300000
H-12,$$,90000,170100000
H-13,$$$$,240000,48200000
H-14,$$,70000,367100000
H-36,$$$$$,0,0
H-37,$$$$$,0,0
H-15,$$$,120000,22000000
H-38,$$$$$,0,0
M-1,$$$$,290000,46800000
M-2,$$$$$,660000,38100000
M-3,$$$$$,490000,38700000
M-4,$$$,160000,40200000
M-7,$$,100000,62000000
M-8,$$$$$,0,0
M-9,$$$$$,0,0
M-14,$$,80000,0
M-15,$$$$$,50000,0
M-10,$$$$$,0,0
M-11,$$$$$,0,0
M-12,$$$$$,0,0
M-13,$$$$$,0,0
Mo-1,$$$,130000,37500000
Mo-2,$$$$$,410000,41300000
O-1,$$,80000,14900000
O-2,$$$,120000,15600000
O-3,$$$$$,510000,61300000
O-4,$$$$,220000,74300000
O-18,$$$$$,0,0
O-19,$$$$$,0,0
O-5,$$$,130000,46500000
O-20,$$$$$,0,0
O-21,$$$$$,0,0
O-6,$$$,110000,20000000
O-7,$$$,120000,39300000
O-8,$$,90000,34200000
O-9,$$$$$,550000,42300000
O-10,$$$,150000,27700000
O-11,$,50000,46600000
O-12,$$$$$,840000,48600000
O-13,$$$$$,2040000,51100000
O-14,$$$$$,450000,62000000
K-13,$$$,130000,0
K-14,$$$,120000,0
K-15,$$$,110000,0
K-16,$$$$$,300000,0
K-17,$$,130000,0
K-18,$$$$$,1120000,0
K-19,$$,80000,0
K-1,$$,90000,82000000
K-11,$$$$$,0,0
K-20,$$$,110000,0
K-12,$$$$$,0,0
K-2,$$,70000,117200000
K-3,$$$$$,540000,29500000
K-4,$$$,190000,44000000
K-5,$$,60000,38100000
K-6,$$$,160000,30500000
K-7,$$,70000,67000000
K-8,$$$,140000,9800000
K-9,$$,80000,27100000
K-10,$$$,140000,36500000
O-15,$$$$,270000,52200000
O-16,$$$$$,840000,86200000
O-17,$$$$$,1010000,37300000
M-5,$$$$$,3300000,23400000
M-6,$$,90000,694000
H-42,,0,0